language.EnglishName|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_back.question.5|look_up.question.1|look_up.question.2|look_up.question.3|look_up.question.4|look_up.question.5|look_up.question.6|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|promo.discovery_bible_study|promo.discuss_with_friends|promo.invite_to_discover|promo.discussion_starter||promo.individual_discovery|promo.group_discovery|select_passage|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23
Shona|shd00|sn|Tarisa Kumashure|Tarisa mudenga|Tarisira|Chii chaunotenda nesvondo rino?|Chii chauri kunetsekana nacho uye tingakubatsira sei?|Makashandisa sei rugwaro/nyaya yatakadzidza patakapedzisira kusangana?|Ndiani wamakataura naye chidzidzo chesvondo rapfuura uye zvakafamba sei?|Ndezvipi zvidikanwi zvamakasangana nazvo munharaunda svondo rapfuura?|Kumbira mumwe munhu kuti averenge ndima imwe neimwe panguva.|Ita kuti nhengo yeboka itaure nemashoko avo.|Bvunza boka kuti vakawedzera chimwe chinhu here kana kuti vakasiya chimwe chinhu.|Kana wapedza nendima DZESE, kumbira mumwe munhu muboka kuti ataure nyaya YESE nemusoro. Ita kuti boka rigadzirise chero kukanganisa.|Ndima iyi inotiudzei nezvaMwari kana Jesu?|Ndima iyi inotiudzei nezvevanhu?|Kana ndima iyi iri yechokwadi, maitiro api atinofanira kushandura svondo rino?|Ndiani wauchaudza nyaya iyi svondo rino?|Ndezvipi zvidikanwi zvatingasangana nazvo munharaunda svondo rino?|Unoda kuonana zvakare rinhi?|Discovery Bible Study|Kurukurai neShamwari|Ungada here kuziva neshamwari dzako kuti Mwari akaita sei uye kuti Mwari anoda kuti urarame sei?|Heino mimwe mibvunzo kuti hurukuro yako itange.||Ungada here kuzvionera kuti Mwari akaita sei uye kuti Mwari anoda kuti urarame sei?|Vanhu vazhinji vanofarira kuita zviwanikwa izvi vari muboka neshamwari dzavo.|Sarudza Passage|Kutanga|Bindu|Sarudzo|Abrahama|10 Mirairo|Zvipiriso zveChivi|Muranda Anotambura|Kuzvarwa kwaJesu|Kubhabhatidzwa kwaJesu|Nikodhimo|Mukadzi muSamaria|Akaoma Mutezo|Dutu|Murume Ane Madhimoni|Razaro|Shoko|Kusungwa|Kuedzwa kwaJesu|Akarovererwa|Kumuka kuvakafa|Kutorwa kumusoro|Mhinduro|Community
Sindhi|snd00|sd|پُٺتي ڏس|ڏسو|اڳتي ڏسو|ڇا توهان هن هفتي لاء شڪرگذار آهيو؟|توهان ڇا سان جدوجهد ڪري رهيا آهيو ۽ اسان ڪيئن مدد ڪري سگهون ٿا؟|توهان ڪئين صحيفن/ڪهاڻي کي عملي طور تي عمل ۾ آڻيو جنهن جو اسان مطالعو ڪيو هو آخري ڀيرو اسان ملاقات ڪئي؟|توهان گذريل هفتي جو سبق ڪنهن سان شيئر ڪيو ۽ اهو ڪيئن ٿيو؟|توهان گذريل هفتي ڪميونٽي ۾ ڪهڙيون ضرورتون پوريون ڪيون؟|ڪنهن کان پڇو ته هڪ وقت ۾ هڪ پيراگراف پڙهڻ لاء.|ڪنهن گروپ جي ميمبر کي پنهنجي لفظن ۾ ٻڌايو.|گروپ کان پڇو ته ڇا انھن ڪجھ شامل ڪيو يا ڪجھھ ڇڏي ڏنو.|جڏهن توهان سڀني پيراگرافن سان ختم ڪريو، گروپ ۾ ڪنهن کان پڇو ته يادگيري سان سڄي ڪهاڻي ٻڌائي. گروپ کي ڪنهن به غلطي کي درست ڪريو.|هي پاسو اسان کي خدا يا عيسى بابت ڇا ٻڌائي ٿو؟|هي اقتباس اسان کي ماڻهن بابت ڇا ٿو ٻڌائي؟|جيڪڏهن هي لنگر صحيح آهي، اسان کي هن هفتي ڪهڙي رويي کي تبديل ڪرڻ گهرجي؟|هن هفتي هن ڪهاڻي کي ڪير ٻڌائيندو؟|اسان هن هفتي ڪميونٽي ۾ ڪهڙي ضرورتن کي پورا ڪري سگهون ٿا؟|توهان وري ڪڏهن ملڻ چاهيو ٿا؟|دريافت بائبل مطالعو|دوستن سان بحث ڪريو|ڇا توھان چاھيو ٿا پنھنجن دوستن سان دريافت ڪريو ته خدا ڪھڙو آھي ۽ خدا توھان کي ڪيئن جيئڻ چاھيو ٿا؟|هتي ڪجھ سوال آھن توھان جي بحث شروع ڪرڻ لاءِ.||ڇا توھان پنھنجي لاءِ دريافت ڪرڻ چاھيو ٿا ته خدا ڇا آھي ۽ خدا توھان کي ڪيئن جيئڻ چاھيو ٿا؟|گهڻا ماڻهو انهن دريافتن کي پنهنجن دوستن سان گڏ هڪ گروپ ۾ ڪرڻ چاهيندا آهن.|منتخب ڪريو Passage|شروعات|باغ|چونڊ|ابراهيم|10 حڪم|گناهه لاءِ نذرانو|ڏکوئيندڙ خادم|يسوع جي پيدائش|يسوع جي بپتسما|نيڪديمس|سامري عورت|مفلوج انسان|طوفان|هڪ شيطاني ماڻهو|لعزر|لفظ|گرفتار|يسوع جي آزمائش|صليب تي لڳل|قيامت|ورتو ويو|جواب|ڪميونٽي
Sinhala (Sinhalese)|sin99|si|ආපසු හැරී බලන්න|සොයන්න|ඉදිරිය බලන්න|මේ සතියේ ඔබ ස්තුතිවන්ත වන්නේ කුමක් ද?|ඔබ අරගල කරන්නේ කුමක් සඳහාද සහ අපට උපකාර කළ හැක්කේ කෙසේද?|අප අවසන් වරට මුණ ගැසුණු ශුද්ධ ලියවිල්ල/කතාව ඔබ ප්‍රායෝගිකව ක්‍රියාවට නැංවූයේ කෙසේද?|ඔබ පසුගිය සතියේ පාඩම බෙදාගත්තේ කා සමඟද සහ එය සිදු වූයේ කෙසේද?|පසුගිය සතියේ සමාජය තුළ ඔබට හමු වූ අවශ්‍යතා මොනවාද?|ඡේදය වරකට එකින් එක කියවීමට යමෙකුට කියන්න.|කණ්ඩායමේ සාමාජිකයෙකුට එය ඔවුන්ගේම වචනවලින් පැවසීමට සලස්වන්න.|ඔවුන් යමක් එකතු කර ඇත්නම් හෝ කිසිවක් අත්හැරියේ දැයි කණ්ඩායමෙන් අසන්න.|ඔබ සියලුම ඡේද සමඟ අවසන් කළ විට, මුළු කතාවම මතකයෙන් පවසන ලෙස කණ්ඩායමේ කෙනෙකුගෙන් ඉල්ලා සිටින්න. කිසියම් දෝෂයක් ඇත්නම් එය නිවැරදි කිරීමට කණ්ඩායමට දන්වන්න.|මෙම ඡේදය දෙවියන් හෝ යේසුස් ගැන අපට පවසන්නේ කුමක්ද?|මෙම ඡේදය මිනිසුන් ගැන අපට පවසන්නේ කුමක්ද?|මෙම ඡේදය සත්‍ය නම්, මේ සතියේ අප වෙනස් කළ යුතු හැසිරීම කුමක්ද?|මේ සතියේ කාටද මේ කතාව කියන්නේ?|මේ සතියේ අපට ප්‍රජාව තුළ සපුරාලිය හැකි අවශ්‍යතා මොනවාද?|ඔබට නැවත හමුවීමට අවශ්‍ය වන්නේ කවදාද?|සොයාගැනීම් බයිබල් පාඩම|මිතුරන් සමඟ සාකච්ඡා කරන්න|දෙවියන් වහන්සේ කෙබඳුද යන්න සහ ඔබ ජීවත් වීමට දෙවියන් වහන්සේ කැමති ආකාරය ඔබේ මිතුරන් සමඟ සොයා ගැනීමට ඔබ කැමතිද?|ඔබේ සාකච්ඡාව ආරම්භ කිරීමට ප්‍රශ්න කිහිපයක් මෙන්න.||දෙවියන් වහන්සේ කෙබඳු කෙනෙක්ද සහ දෙවියන් වහන්සේ ඔබ ජීවත් වීමට කැමති කෙසේද යන්න ඔබම සොයා ගැනීමට ඔබ කැමතිද?|බොහෝ අය තම මිතුරන් සමඟ කණ්ඩායමක් තුළ මෙම සොයාගැනීම් කිරීමට කැමතියි.|ඡේදය තෝරන්න|ආරම්භය|උද්යානය|තේරීම|ඒබ්‍රහම්|10 ආඥා|පාපයට පූජා|දුක් විඳින සේවකයා|ජේසුස් වහන්සේගේ උපත|යේසුස්ගේ බව්තීස්මය|නිකොදේමස්|සමරිතානු කාන්තාව|අංශභාග මිනිසා|කුණාටුව|යක්ෂාවේශ වූ මිනිසෙක්|ලාසරුස්|වචනය|අත්අඩංගුවට ගත්තා|යේසුස්ගේ නඩු විභාගය|කුරුසියේ ඇණ ගසා ඇත|නැවත නැඟිටීම|දක්වා ගෙන ඇත|ප්‍රතිචාර|ප්රජාව
Slovak|slo00|sk|Pozrite sa späť|Pozri hore|Tešiť sa dopredu|Za čo ste tento týždeň vďační?|S čím zápasíte a ako vám môžeme pomôcť?|Ako ste uviedli do praxe písmo/príbeh, ktorý sme študovali, keď sme sa naposledy stretli?|S kým ste sa podelili o minulotýždňovú lekciu a ako prebiehala?|S akými potrebami ste sa v komunite stretli minulý týždeň?|Požiadajte niekoho, aby prečítal pasáž po jednotlivých odsekoch.|Požiadajte člena skupiny, aby to povedal vlastnými slovami.|Opýtajte sa skupiny, či niečo pridali alebo niečo vynechali.|Keď skončíte so VŠETKÝMI odsekmi, požiadajte niekoho zo skupiny, aby spamäti povedal CELÝ príbeh. Nechajte skupinu opraviť prípadné chyby.|Čo nám táto pasáž hovorí o Bohu alebo Ježišovi?|Čo nám táto pasáž hovorí o ľuďoch?|Ak je táto pasáž pravdivá, aké správanie by sme mali tento týždeň zmeniť?|Komu povieš tento týždeň tento príbeh?|Aké potreby môžeme uspokojiť v komunite tento týždeň?|Kedy sa chceš opäť stretnúť?|Discovery Bible Study|Diskutujte s priateľmi|Chceli by ste so svojimi priateľmi objaviť, aký je Boh a ako Boh chce, aby ste žili?|Tu je niekoľko otázok, aby ste mohli začať diskusiu.||Chceli by ste na vlastnej koži zistiť, aký je Boh a ako Boh chce, aby ste žili?|Väčšina ľudí rada robí tieto objavy v skupine so svojimi priateľmi.|Vyberte Priechod|Začiatok|Záhrada|Voľba|Abrahámovi|10 prikázaní|Obety za hriech|Trpiaci sluha|Narodenie Ježiša|Ježišov krst|Nikodém|Samaritánska žena|Ochrnutý muž|Búrka|Muž posadnutý démonmi|Lazarus|Slovo|Zatknutý|Ježišova skúška|Ukrižovaný|Vzkriesenie|Prevzaté|Odpovede|Spoločenstva
Slovenian|slv00|sl|Poglej nazaj|Poglej gor|Poglej naprej|Za kaj ste hvaležni ta teden?|S čim se spopadate in kako vam lahko pomagamo?|Kako ste udejanjili svetopisemski stavek/zgodbo, ki smo jo preučevali nazadnje, ko smo se srečali?|S kom si delil lekcijo prejšnji teden in kako je potekala?|Katere potrebe ste srečali v skupnosti prejšnji teden?|Prosite nekoga, naj prebere odlomek en odstavek naenkrat.|Član skupine naj to pove s svojimi besedami.|Vprašajte skupino, ali so kaj dodali ali izpustili.|Ko končate z VSEMI odstavki, prosite nekoga v skupini, naj na pamet pove CELOTNO zgodbo. Skupina naj popravi vse napake.|Kaj nam ta odlomek pove o Bogu ali Jezusu?|Kaj nam ta odlomek pove o ljudeh?|Če je ta odlomek resničen, kakšno vedenje bi morali spremeniti ta teden?|Komu boste povedali to zgodbo ta teden?|Katere potrebe lahko ta teden zadovoljimo v skupnosti?|Kdaj se želiš spet srečati?|Discovery Bible Study|Diskusija s prijatelji|Bi radi s prijatelji odkrili, kakšen je Bog in kako Bog želi, da živite?|Tukaj je nekaj vprašanj za začetek vaše razprave.||Bi radi sami odkrili, kakšen je Bog in kako Bog želi, da živite?|Večina ljudi rada odkrije ta odkritja v skupini s prijatelji.|Izberite Prehod|Začetek|Vrt|Izbira|Abraham|10 zapovedi|Daritve za greh|Trpeči služabnik|Jezusovo rojstvo|Jezusov krst|Nikodem|Samarijanka|Paraliziran človek|Nevihta|Z demonom obseden človek|Lazarja|Beseda|aretiran|Jezusovo sojenje|Križan|Vstajenje|Prevzeto|Odzivi|Skupnost
Somali|som00|so|Dib u eeg|Kor u eeg|Horey usoco|Maxaad ugu mahadsantahay usbuucan?|Maxaad la halgamaysaa sidee baannu ku caawin karnaa?|Sideed u dhaqan galisay kitaabka/sheekadii aanu barannay markii ugu dambaysay ee aanu kulanay?|Yaad la wadaagtay casharkii usbuucii hore sideese u dhacay?|Maxay yihiin baahiyaha aad la kulantay bulshada todobaadkii hore?|Weydii qof inuu akhriyo tuducda hal cutub marba.|Xubin kooxeed ha ku sheegaan erayadooda.|Weydii kooxda haddii ay wax ku kordhiyeen ama ay ka tageen.|Markaad dhammayso DHAMMAAN cutubyada, weydii qof kooxda ka mid ah inuu u sheego sheekada oo dhan xusuusta. Kooxdu ha saxaan wixii khalad ah.|Maxay tuducani nooga sheegaysaa Ilaah ama Ciise?|Maxay tuducan nooga sheegaysaa dadka?|Haddii tuducani run yahay, waa maxay dabeecadda aan beddeleyno usbuucan?|Yaad u sheegi doontaa sheekadan toddobaadkan?|Maxay yihiin baahiyaha aan dabooli karno bulshada dhexdeeda usbuucan?|Goorma ayaad rabtaa inaad mar kale la kulanto?|Barashada Kitaabka Quduuska ah|Kala hadal asxaabta|Ma jeclaan lahayd inaad saaxiibadaa la ogaato waxa Ilaah u eg yahay iyo sida uu Ilaahay doonayo inaad u noolaato?|Waa kuwan qaar ka mid ah su'aalaha si aad u bilowdo dooddaada.||Ma jeclaan lahayd inaad naftaada ogaato waxa Ilaah u eg yahay iyo sida uu Ilaahay doonayo inaad u noolaato?|Dadka intooda badan waxay jecel yihiin inay koox ahaan ku sameeyaan sahannadan saxiibadood.|Dooro marinka|Bilowgii|Beerta|Doorashada|Ibraahim|10 Amarka|Waxyaalaha Dembigu|Addoon rafaadsan|Dhalashadii Ciise|Baabtiiskii Ciise|Nikodemos|Naag Samaariya ah|Nin Curyaan ah|Duufaanta|Nin Jinni Qabo|Laasaros|Erayga|La xidhay|Maxkamadeynta Ciise|Iskutallaabta lagu qodbay|Qiyaame|Kor loo qaaday|Jawaabaha|Bulshada
Spanish|spn00|es|Mirar hacia atrás|Buscar|Esperar|¿Por qué estás agradecido esta semana?|¿Con qué estás luchando y cómo podemos ayudarte?|¿Cómo pusiste en práctica la escritura/historia que estudiamos la última vez que nos reunimos?|¿Con quién compartiste la lección de la semana pasada y cómo te fue?|¿Qué necesidades satisfizo en la comunidad la semana pasada?|Pídale a alguien que lea el pasaje un párrafo a la vez.|Haga que un miembro del grupo lo cuente con sus propias palabras.|Pregúntele al grupo si agregaron algo o dejaron algo fuera.|Cuando termines con TODOS los párrafos, pídele a alguien del grupo que cuente toda la historia de memoria. Haga que el grupo corrija cualquier error.|¿Qué nos dice este pasaje acerca de Dios o Jesús?|¿Qué nos dice este pasaje sobre las personas?|Si este pasaje es cierto, ¿qué comportamiento deberíamos cambiar esta semana?|¿A quién le contarás esta historia esta semana?|¿Qué necesidades podemos satisfacer en la comunidad esta semana?|¿Cuándo quieres volver a vernos?|Estudio bíblico de descubrimiento|Discutir con amigos|¿Te gustaría descubrir con tus amigos cómo es Dios y cómo Dios quiere que vivas?|Aquí hay algunas preguntas para comenzar su discusión.||¿Te gustaría descubrir por ti mismo cómo es Dios y cómo quiere Dios que vivas?|A la mayoría de las personas les gusta hacer estos descubrimientos en grupo con sus amigos.|Seleccionar pasaje|El comienzo|El Jardín|La elección|Abrahán|10 mandamientos|Ofrendas por el pecado|Siervo sufriente|nacimiento de jesus|bautismo de jesus|Nicodemo|mujer samaritana|Hombre paralizado|la tormenta|Un hombre poseído por un demonio|Lázaro|la palabra|Detenido|El juicio de Jesús|crucificado|Resurrección|tomado|Respuestas|Comunidad
Sundanese|Sud777|su|Tingali deui|Ningali ka luhur|Ngarepkeun|Naon anu anjeun hatur nuhun pikeun minggu ieu?|Naon anu anjeun bajoang sareng kumaha urang tiasa ngabantosan?|Kumaha anjeun ngalaksanakeun kitab suci / carita anu urang pelajari kamari urang tepang?|Saha anu anjeun bagikeun pelajaran minggu kamari sareng kumaha jalanna?|Kabutuhan naon anu anjeun pendak di komunitas minggu kamari?|Tanya batur maca petikan hiji paragraf dina hiji waktu.|Pasihan anggota kelompok nyarioskeun ku kecap sorangan.|Tanya grup lamun aranjeunna ditambahkeun nanaon atawa ninggalkeun nanaon kaluar.|Sawaktos Anjeun rengse kalayan ALL paragraf, ménta batur di grup pikeun ngabejaan sakabeh carita ku memori. Suruh grup ngabenerkeun sagala kasalahan.|Naon anu dicarioskeun ku ayat ieu ngeunaan Gusti atanapi Yesus?|Naon petikan ieu ngabejaan urang ngeunaan jalma?|Upami petikan ieu leres, kabiasaan naon anu kedah urang robih minggu ieu?|Saha anu anjeun badé nyarioskeun carita ieu minggu ieu?|Kabutuhan naon anu urang tiasa nyumponan di masarakat minggu ieu?|Iraha rék tepang deui?|Pangajaran Alkitab Papanggihan|Diskusikeun sareng Babaturan|Naha anjeun badé mendakan sareng réréncangan anjeun kumaha Gusti Allah sareng kumaha Gusti hoyong anjeun hirup?|Ieu sababaraha patarosan pikeun ngamimitian diskusi anjeun.||Naha anjeun hoyong terang kumaha Gusti Allah sareng kumaha Gusti hoyong anjeun hirup?|Kalolobaan jalma resep nyieun pamanggihan ieu dina grup kalawan babaturanana.|Pilih Passage|Awal|Taman|Pilihan|Ibrahim|10 parentah|Kurban pikeun Dosa|Hamba Sangsara|Lahirna Yesus|Baptisan Yesus|Nikodemus|Awéwé Samaria|Lalaki Lumpuh|The Storm|Lalaki Kasurupan Sétan|Lasarus|Kecap|Ditéwak|Sidang Yesus|Disalib|Kabangkitan|Dicandak|Tanggapan|Komunitas
Swahili|swc00|sw|Angalia Nyuma|Tazama Juu|Tazama Mbele|Unashukuru nini kwa wiki hii?|Unahangaika na nini na tunawezaje kukusaidia?|Ulitekelezaje kwa vitendo andiko/hadithi tuliyojifunza mara ya mwisho tulipokutana?|Je, ulishiriki na nani somo la wiki iliyopita na lilikuaje?|Je, ni mahitaji gani ulikutana nayo katika jumuiya wiki iliyopita?|Uliza mtu kusoma kifungu aya moja baada ya nyingine.|Mwambie mwanakikundi aseme kwa maneno yao wenyewe.|Uliza kikundi kama waliongeza chochote au wameacha chochote.|Unapomaliza na aya ZOTE, mwambie mtu kwenye kikundi kusimulia hadithi YOTE kwa kumbukumbu. Fanya kikundi kusahihisha makosa yoyote.|Kifungu hiki kinatuambia nini kuhusu Mungu au Yesu?|Kifungu hiki kinatuambia nini kuhusu watu?|Ikiwa kifungu hiki ni cha kweli, ni tabia gani tunapaswa kubadilisha wiki hii?|Je, utamsimulia nani hadithi hii wiki hii?|Je, ni mahitaji gani tunaweza kutimiza katika jumuiya wiki hii?|Unataka kukutana lini tena?|Ugunduzi wa Mafunzo ya Biblia|Jadili na Marafiki|Je, ungependa kugundua pamoja na marafiki zako jinsi Mungu alivyo na jinsi Mungu anataka uishi?|Hapa kuna baadhi ya maswali ili kuanzisha mjadala wako.||Je, ungependa kujigundua mwenyewe jinsi Mungu alivyo na jinsi Mungu anataka uishi?|Watu wengi wanapenda kufanya uvumbuzi huu katika kikundi na marafiki zao.|Chagua Kifungu|Mwanzo|Bustani|Chaguo|Ibrahimu|Amri 10|Sadaka kwa ajili ya Dhambi|Mtumishi Anayeteseka|Kuzaliwa kwa Yesu|Ubatizo wa Yesu|Nikodemo|Mwanamke Msamaria|Mtu aliyepooza|Dhoruba|Mwanaume Mwenye Pepo|Lazaro|Neno|Kukamatwa|Jaribio la Yesu|Kusulubiwa|Ufufuo|Imechukuliwa|Majibu|Jumuiya
Swedish|swe99|sv|Se tillbaka|Slå upp|Se framåt|Vad är du tacksam för den här veckan?|Vad kämpar du med och hur kan vi hjälpa dig?|Hur omsatte du skriftstället/berättelsen vi studerade förra gången vi träffades?|Vem delade du förra veckans lektion med och hur gick det?|Vilka behov mötte du i samhället förra veckan?|Be någon att läsa avsnittet ett stycke i taget.|Låt en gruppmedlem berätta det med sina egna ord.|Fråga gruppen om de lagt till något eller utelämnat något.|När du är klar med ALLA stycken, be någon i gruppen att berätta HELA historien genom minne. Låt gruppen rätta till eventuella fel.|Vad säger det här avsnittet om Gud eller Jesus?|Vad säger detta avsnitt om människor?|Om det här avsnittet är sant, vilket beteende ska vi ändra den här veckan?|Vem kommer du att berätta den här historien för den här veckan?|Vilka behov kan vi möta i samhället den här veckan?|När vill du träffas igen?|Discovery Bibelstudie|Diskutera med vänner|Skulle du vilja upptäcka med dina vänner hur Gud är och hur Gud vill att du ska leva?|Här är några frågor för att få igång din diskussion.||Skulle du vilja upptäcka själv hur Gud är och hur Gud vill att du ska leva?|De flesta tycker om att göra dessa upptäckter i en grupp med sina vänner.|Välj Passage|Början|Trädgården|Valet|Abraham|10 budord|Offer för synd|Lidande tjänare|Jesu födelse|Jesu dop|Nikodemus|samaritsk kvinna|Förlamad man|Stormen|En demonbesatt man|Lasarus|Ordet|arresterad|Jesu prövning|Korsfäst|Uppståndelse|Upptagen|Svar|Gemenskap
Tagalog (Filipino)|tgl00|tl|Tumingin Sa likod|Tumingin sa Itaas|Tumingin sa Harap|Ano ang ipinagpapasalamat mo sa linggong ito?|Ano ang iyong pinaghirapan at paano kami makakatulong?|Paano mo isinabuhay ang banal na kasulatan/kuwento na pinag-aralan natin noong nagkita tayo?|Kanino mo binahagi ang aralin noong nakaraang linggo at paano ito napunta?|Anong mga pangangailangan ang natugunan mo sa komunidad noong nakaraang linggo?|Hilingin sa isang tao na basahin ang talata nang paisa-isa.|Ipasabi ito sa isang miyembro ng grupo sa sarili nilang mga salita.|Tanungin ang grupo kung may idinagdag sila o may naiwan.|Kapag natapos mo ang LAHAT ng mga talata, hilingin sa isang tao sa grupo na sabihin ang BUONG kuwento sa pamamagitan ng memorya. Ipatama sa pangkat ang anumang pagkakamali.|Ano ang sinasabi sa atin ng talatang ito tungkol sa Diyos o kay Jesus?|Ano ang sinasabi sa atin ng talatang ito tungkol sa mga tao?|Kung totoo ang talatang ito, anong pag-uugali ang dapat nating baguhin ngayong linggo?|Kanino mo sasabihin ang kuwentong ito sa linggong ito?|Anong mga pangangailangan ang maaari nating matugunan sa komunidad ngayong linggo?|Kailan mo gustong magkita muli?|Pagtuklas sa Pag-aaral ng Bibliya|Discus with Friends|Gusto mo bang matuklasan sa iyong mga kaibigan kung ano ang Diyos at kung paano ka gustong mabuhay ng Diyos?|Narito ang ilang tanong para makapagsimula ang iyong talakayan.||Gusto mo bang tuklasin sa iyong sarili kung ano ang Diyos at kung paano ka gustong mabuhay ng Diyos?|Karamihan sa mga tao ay gustong gawin ang mga pagtuklas na ito sa isang grupo kasama ang kanilang mga kaibigan.|Piliin ang Passage|Ang Simula|Ang Hardin|Ang Pagpipilian|Abraham|10 Utos|Mga Handog para sa Kasalanan|Naghihirap na Lingkod|Kapanganakan ni Hesus|Pagbibinyag kay Hesus|Nicodemo|Babaeng Samaritano|Paralisadong Lalaki|Ang Bagyo|Isang Lalaking Inaalihan ng Demonyo|Lazarus|Ang Salita|Arestado|Pagsubok ni Hesus|Nakapako sa krus|Muling Pagkabuhay|Kinuha|Mga tugon|Komunidad
Tajik|pet00|tg|Ба қафо нигоҳ кунед|Ҷустуҷӯ кардан|Мунтазир шудан|Шумо барои ин ҳафта чӣ миннатдоред?|Шумо бо чӣ мубориза мебаред ва мо чӣ гуна кӯмак карда метавонем?|Чӣ тавр шумо оят/ҳикояеро, ки мо бори охир вохӯрда будем, дар амал татбиқ кардед?|Шумо дарси ҳафтаи гузаштаро бо кӣ мубодила кардед ва он чӣ гуна гузашт?|Ҳафтаи гузашта шумо кадом ниёзҳоро дар ҷомеа қонеъ кардед?|Аз касе хоҳиш кунед, ки порчаро дар як вақт як параграф хонад.|Ба аъзои гурӯҳ бигзоред, ки онро бо суханони худ нақл кунад.|Аз гурӯҳ пурсед, ки оё онҳо чизе илова кардаанд ё чизеро тарк кардаанд.|Вақте ки шумо бо ҲАМАИ параграфҳо тамом мекунед, аз касе дар гурӯҳ хоҳиш кунед, ки ТАМОМИ ҳикояро аз рӯи хотира нақл кунад. Ба гурӯҳ иҷозат диҳед, ки хатогиҳоро ислоҳ кунанд.|Ин порча ба мо дар бораи Худо ё Исо чӣ мегӯяд?|Ин порча ба мо дар бораи одамон чӣ мегӯяд?|Агар ин порча дуруст бошад, мо бояд дар ин ҳафта кадом рафторро тағир диҳем?|Шумо ин ҳикояро дар ин ҳафта ба кӣ нақл мекунед?|Дар ин ҳафта мо дар ҷомеа кадом ниёзҳоро қонеъ карда метавонем?|Шумо кай боз вохӯрдан мехоҳед?|Омӯзиши Китоби Муқаддас|Бо Дӯстон муҳокима кунед|Оё шумо мехоҳед бо дӯстонатон бифаҳмед, ки Худо чӣ гуна аст ва Худо мехоҳад, ки шумо чӣ гуна зиндагӣ кунед?|Инҳоянд чанд савол барои оғози муҳокимаи шумо.||Оё мехоҳед, ки худатон бифаҳмед, ки Худо чӣ гуна аст ва Худо мехоҳад, ки шумо чӣ гуна зиндагӣ кунед?|Аксарияти одамон ин кашфиётҳоро дар як гурӯҳ бо дӯстони худ дӯст медоранд.|Гузаришро интихоб кунед|Оғоз|Боғ|Интихоб|Иброҳим|10 Аҳком|Пешниҳодҳо барои гуноҳ|Бандаи ранҷу азоб|Мавлуди Исо|Таъмиди Исо|Никодимус|Зани сомарӣ|Марди фалаҷ|Тӯфон|Одами девона|Лаъзор|Калом|боздошт шудааст|Озмоиши Исо|маслуб карда шудааст|эҳё|Гирифта|Ҷавобҳо|Ҷамъият
